index,review,label,predicted_label,binary_predicted_label
52,"The movie is about a day in the life of a woman who is going insane. To show that she is mentally ill, she overacts a lot and the narrator tells us she's 'going mad'. Along the way, she goes out with a fat guy who looks like he could be Orson Welles' brother and he later takes a header off a building in one of the only interesting moments in the movie.<br /><br />This is a strange little film that is very cheaply made--and it sure shows. The film was shot without sound (probably using 8mm or some other cheap type of film) and had some sound effects and an overbearing narration added later. In fact, the narration was the most obtrusive and unintentionally hilarious I have ever heard and it is said in such a silly and over-the-top manner you'd just have to hear it to believe it. As a result of these cost-cutting actions, it's not surprising that the film is bad, though the idea of trying to make this sort of film was pretty original. Plus, it's VERY hard to make it through the entire film.",1,positive,0.0
58,"I can't remember when was the last time I have been so terribly disappointed by any movie. Probably I expected too much happening (in a way you can expect action in dogma style movies of course). But there is just nothing going on in here. Luckily I was watching it at home and could switch channels whenever the silence and dumb/numb faces started to kill me. And that was very often! It really isn't too much of a pleasure watching ugly people who don't talk and move slowly, stroke pigs and french kiss men, not to mention ugly bodies having explicit sex. If only it made any sense... the whole murder situation is ridiculous; seems like it was only created to show one more vagina since zero characters are capable of actually solving the crime. Having only four pseudo developed characters and a movie going nowhere it is pretty soon obvious whom the director picked as a killer. And that makes no sence either. Despite all the boredom and suffering I must admit that it somehow touched me in an unexplainable way. Maybe you should check it out yourself though I don't recommend it.",1,positive,0.0
0,"Well I don't know much about anything, but I sure liked this film. In short, it was creative, humorous, simple, and heartwarming. In other words, it was everything it set out to be.<br /><br />The story is set around a girl's first love, (as the title suggests) and I certainly should warn you: expect nothing challenging or provocative in terms of the subject matter here. I mean, it is a children's cartoon. It's really just a simple story, but it's told well, and it holds your attention well.<br /><br />In the end: it's short, it's funny, it's cute, it's simple, it's good.",0,positive,0.0
44,"And one only, in my opinion.<br /><br />That reason is Margaret Leighton. She is a wonderful actress, on-stage as well as on the screen. We have few chances to see her, though. I think that's especially true in the United States.<br /><br />Here she plays a sympathetic role. Not only that but she is also very pretty and meant to be something of a bombshell.<br /><br />Walter Pigeon does not hold up the tradition of Drummond performers. He is always reliable but he's not much fun. He's not a rascal or a knave. Consequently, this seemed to me a talky endeavor with little action or suspense. But check it out for Leighton.",1,positive,0.0
5,"As I have said before in previous comments, some programmes are there to be 'Light entertainment'. So I get somewhat frustrated when commentators seem to be expecting a program that will reveal the meaning of life, you will not get that from Cleopatra 2525 and it does not presume to offer it. What you get is a girl who was frozen and is brought back to life some 500 years later and her adaptation to this new life is realistic. She does not settle in within 10 minutes as what happens with other time travelling adventures and neither is she the female equivalent of James Bond ready to take on all comers.Cleopatra is overawed by her new surroundings and frightened by some of the weaponry on display as most of us would be. However it is light entertainment, the stories have a beginning a middle and an end in quick time and their are some surprisingly good moments of acting. The episode when there is a double of Cleopatra is particularly moving and Jennifer Sky I think gives one of the best performances of someone dying for a long long time, and being a film and television buff I know what I am talking about. Finally to prove my sincerity I have purchased all but four of the episodes and I am entirely satisfied with my purchase. The only reason I do not have the complete set is because I purchased the other episodes before realising that there was one complete box set. Victoria Pratt and Gina Torres complete the trio creditably and for light entertainment Cleopatra 2525 certainly entertained me.",0,positive,0.0
36,"It was pointed out in a now deleted post from another IMDb user that anyone who might see 'The Medusa Touch' should be warned about a scene that's eerily reminiscent of the Sept. 11, 2001 terrorist attacks in NYC. But I hope anyone reading this will consider this warning. Despite an interesting pedigree (producer Elliott Kastner produced 'Harper' and 'The Long Goodbye'; co-producer Arnon Milchan co-produced the Oscar-nominated 'L.A. Confidential' and screenwriter John Briley won an Oscar for 'Gandhi') and an international cast, I found 'The Medusa Touch' to be a heavy-handed, unintentional laugh riot. It was a poorly directed, horribly written and acted mess. It tried to capitalize on the 70s telekinetic thrillers genre. The movie fails on many counts. Please consider 'Carrie' and the underrated 'The Fury' (both directed by Brian DePalma). They were two entertaining and exciting thrillers that dealt with the same subject matter.",1,negative,1.0
16,"I'm too old to know (or care) exactly what the difference between rap and hip-hop is. And, being Canadian, it's likely that I've never actually seen MTV, but I'm not certain.<br /><br />But I thought this film was very funny when I saw it, a bright little satire. Hip-hop culture is so pervasive these days that it's difficult not to keep hearing about it over and over. (If only we could say the same about bagpipe music.) I got most of the jokes (at least I think I did). Sure, it's derived from Spinal Tap, but there are lots of targets that could stand a Tap treatment. Just not the Carpenters, they're sacred.",0,positive,0.0
12,"This was a wonderfully clever and entertaining movie that I shall never tire of watching many, many times. The casting was magnificent in matching up the young with the older characters. There are those of us out here who really do appreciate good actors and an intelligent story format. As for Judi Dench, she is beautiful and a gift to any kind of production in which she stars. I always make a point to see Judi Dench in all her performances. She is a superb actress and a pleasure to watch as each transformation of her character comes to life. I can only be grateful when I see such an outstanding picture for most of the motion pictures made more recently lack good characters, good scripts and good acting. The movie public needs heroes, not deviant manikins, who lack ingenuity and talent. How wonderful to see old favorites like Leslie Caron, Olympia Dukakis and Cleo Laine. I would like to see this movie win the awards it deserves. Thank you again for a tremendous night of entertainment. I congratulate the writer, director, producer, and all those who did such a fine job.",0,positive,0.0
25,"I must say that I had wanted to see this film for a long time, and I was not disappointed. The acting of Dominic Monaghan is simply fantastic. As a part insomniac myself, I can relate with how the story develops. I have never experienced anything of the sort but some awake moments overlap the sleeping and it can be scary. It was a great film, worth every penny. I hope that one day I can work with Tess myself, it would be an honor and beyond. I can recommend it for everybody. Maybe not small children as they may get scared. But if you are an insomniac like me, you'll understand the world, the mysteries and the fear. You'll love it. <br /><br />F.",0,positive,0.0
61,"This movie was horrid and at the end made me wonder why someone went to the trouble to make it. Now it was not all bad, I have studied film and this film was put together very nicely and had very good cinematic everything with interesting angles to very nice lighting and excellent camera work. I wish I could have seen it back in school because it would have made a good film to write a paper on. BUT........ Since I have graduated and lost most of my film pretentiousness I have realized that a film should be entertaining above all, this movie was long and boring and I'm not sure when it finally got to the point that it was worth my time.<br /><br />",1,positive,0.0
